LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Rimini;25/2/2022;10;2;16;6;70;20;9;46;0;1018;0;0;pioggia 
Rimini;1/11/2022;15;9;20;11;78;19;6;9;0;1022;0;0;
Rimini;2/11/2022;15;10;19;12;84;15;5;9;0;1023;0;0;
Rimini;3/11/2022;15;12;18;13;89;5;6;11;0;1019;0;0;
Rimini;4/11/2022;16;11;21;12;73;19;10;30;0;1004;0;0;pioggia 
Rimini;5/11/2022;14;10;17;8;68;20;14;24;0;1009;0;0;pioggia 
Rimini;6/11/2022;13;8;17;6;64;20;13;26;0;1017;0;0;
Rimini;7/11/2022;10;4;16;6;77;20;6;13;0;1020;0;0;
Rimini;8/11/2022;12;5;18;8;82;21;6;15;0;1021;0;0;
Rimini;9/11/2022;12;7;18;10;87;14;6;13;0;1019;0;0;
Rimini;10/11/2022;13;8;15;11;89;6;13;22;0;1024;0;0;
Rimini;11/11/2022;15;12;18;11;81;12;15;21;0;1032;0;0;pioggia 
Rimini;12/11/2022;13;11;16;10;82;10;15;24;0;1029;0;0;
Rimini;13/11/2022;12;8;16;9;85;12;8;17;0;1024;0;0;pioggia 
Rimini;14/11/2022;11;9;12;10;94;12;11;18;0;1022;0;0;pioggia 
Rimini;15/11/2022;10;4;14;8;91;15;8;18;0;1017;0;0;pioggia 
Rimini;16/11/2022;11;10;12;10;94;8;11;21;0;1004;0;0;pioggia 
Rimini;17/11/2022;12;6;18;10;88;8;8;22;0;1002;0;0;nebbia 
Rimini;18/11/2022;13;9;18;11;87;13;11;28;0;1000;0;0;nebbia
Rimini;19/11/2022;10;8;14;9;92;13;9;28;0;1005;0;0;pioggia 
Rimini;20/11/2022;11;7;14;7;80;18;20;30;0;1009;0;0;pioggia 
Rimini;21/11/2022;11;3;16;6;73;20;8;21;0;1008;0;0;
Rimini;22/11/2022;10;8;13;8;89;13;25;59;0;990;0;0;pioggia 
Rimini;23/11/2022;10;5;15;5;77;20;15;44;0;1003;0;0;pioggia 
Rimini;24/11/2022;8;4;14;4;80;20;6;13;0;1013;0;0;
Rimini;25/11/2022;8;3;13;6;88;16;6;15;0;1018;0;0;
Rimini;26/11/2022;12;9;15;8;78;12;18;26;0;1023;0;0;pioggia 
Rimini;27/11/2022;9;6;12;5;81;18;17;26;0;1026;0;0;
Rimini;28/11/2022;7;4;10;4;83;20;7;13;0;1019;0;0;pioggia 
Rimini;29/11/2022;7;6;8;6;94;6;15;21;0;1015;0;0;pioggia 
Rimini;30/11/2022;6;6;7;3;82;12;20;24;0;1016;0;0;pioggia 
Rimini;1/12/2023;15;5;23;7;66;15;16;37;0;999;0;0;pioggia 
Rimini;2/12/2023;15;10;19;6;55;21;32;65;0;997;0;0;pioggia 
Rimini;3/12/2023;8;3;11;5;82;20;13;28;0;1018;0;0;pioggia 
Rimini;4/12/2023;4;0;8;2;87;15;6;15;0;1021;0;0;pioggia 
Rimini;5/12/2023;4;3;5;3;91;14;16;22;0;1012;0;0;pioggia 
Rimini;6/12/2023;6;2;9;3;79;18;13;26;0;1012;0;0;pioggia 
Rimini;7/12/2023;4;0;10;2;81;19;7;17;0;1019;0;0;
Rimini;8/12/2023;3;-2;7;2;86;14;10;21;0;1017;0;0;pioggia 
Rimini;9/12/2023;5;3;8;3;85;12;10;21;0;1017;0;0;pioggia 
Rimini;10/12/2023;6;1;10;4;90;11;11;24;0;1015;0;0;nebbia
Rimini;11/12/2023;5;1;7;4;95;8;7;15;0;1013;0;0;nebbia 
Rimini;12/12/2023;8;5;10;6;88;6;6;13;0;1012;0;0;
Rimini;13/12/2023;9;6;17;8;90;6;8;18;0;1002;0;0;nebbia
Rimini;14/12/2023;7;5;10;6;96;3;11;18;0;1011;0;0;nebbia 
Rimini;15/12/2023;8;3;12;5;85;12;16;31;0;1026;0;0;nebbia 
Rimini;16/12/2023;10;4;12;2;61;20;17;28;0;1036;0;0;
Rimini;17/12/2023;6;1;11;2;70;21;16;26;0;1039;0;0;
Rimini;18/12/2023;5;0;12;3;78;18;6;13;0;1034;0;0;
Rimini;19/12/2023;6;0;15;2;76;19;5;13;0;1025;0;0;
Rimini;20/12/2023;5;0;10;3;82;20;6;13;0;1014;0;0;
Rimini;21/12/2023;7;2;12;4;81;19;9;21;0;1009;0;0;
Rimini;22/12/2023;11;2;20;4;64;20;10;26;0;1001;0;0;
Rimini;23/12/2023;16;14;21;4;46;20;16;31;0;1006;0;0;
Rimini;24/12/2023;12;4;18;5;66;20;10;26;0;1013;0;0;
Rimini;25/12/2023;8;3;14;5;80;19;6;13;0;1018;0;0;
Rimini;26/12/2023;7;3;11;6;90;20;4;8;0;1020;0;0;
Rimini;27/12/2023;8;4;15;7;90;14;4;11;0;1026;0;0;
Rimini;28/12/2023;9;1;17;5;78;20;8;17;0;1027;0;0;
Rimini;29/12/2023;11;7;16;7;80;15;7;18;0;1023;0;0;
Rimini;30/12/2023;9;7;12;8;93;6;5;9;0;1021;0;0;pioggia
Rimini;31/12/2023;11;7;16;9;84;9;9;24;0;1015;0;0;pioggia
Rimini;1/1/2023;8;4;11;7;96;2;5;11;0;1031;0;0;nebbia 
Rimini;2/1/2023;8;7;9;8;100;1;4;9;0;1030;0;0;pioggia
Rimini;3/1/2023;8;7;8;8;100;1;5;9;0;1029;0;0;pioggia
Rimini;4/1/2023;9;7;12;9;96;4;8;13;0;1030;0;0;pioggia
Rimini;5/1/2023;9;8;10;8;95;1;5;8;0;1024;0;0;pioggia
Rimini;6/1/2023;9;6;12;7;87;4;4;9;0;1025;0;0;pioggia
Rimini;7/1/2023;11;9;12;7;80;6;5;8;0;1024;0;0;
Rimini;8/1/2023;13;8;19;7;67;14;13;26;0;1016;0;0;pioggia 
Rimini;9/1/2023;11;8;16;8;82;15;14;31;0;1004;0;0;pioggia
Rimini;10/1/2023;9;6;14;5;59;22;14;30;0;1015;0;0;pioggia 
Rimini;11/1/2023;6;0;14;2;64;21;5;11;0;1020;0;0;
Rimini;12/1/2023;8;3;12;3;70;19;12;30;0;1022;0;0;pioggia 
Rimini;13/1/2023;8;3;13;4;78;15;5;11;0;1019;0;0;
Rimini;14/1/2023;8;3;14;4;77;13;7;13;0;1022;0;0;
Rimini;15/1/2023;9;1;17;6;72;14;14;33;0;1014;0;0;
Rimini;16/1/2023;8;5;13;5;82;11;11;24;0;1000;0;0; nebbia
Rimini;17/1/2023;8;6;10;6;86;17;12;24;0;989;0;0;pioggia 
Rimini;18/1/2023;6;3;11;5;89;15;8;22;0;993;0;0; nebbia
Rimini;19/1/2023;5;1;10;2;85;15;10;18;0;1001;0;0;pioggia 
Rimini;20/1/2023;4;3;7;2;82;18;22;30;0;1006;0;0;pioggia 
Rimini;21/1/2023;6;3;7;2;63;20;22;37;0;1008;0;0;pioggia 
Rimini;22/1/2023;5;3;8;3;89;11;18;57;0;1013;0;0;pioggia 
Rimini;23/1/2023;6;2;10;3;80;16;20;44;0;1015;0;0;pioggia 
Rimini;24/1/2023;7;3;10;5;86;18;14;21;0;1027;0;0;pioggia 
Rimini;25/1/2023;8;6;10;5;80;17;12;21;0;1023;0;0;pioggia 
Rimini;26/1/2023;5;4;6;2;84;18;17;22;0;1014;0;0;pioggia 
Rimini;27/1/2023;4;3;7;1;76;20;15;24;0;1012;0;0;pioggia 
Rimini;28/1/2023;5;3;7;1;73;20;16;22;0;1017;0;0;pioggia 
Rimini;29/1/2023;4;2;6;1;75;19;13;24;0;1024;0;0;
Rimini;30/1/2023;4;-1;8;1;77;19;7;11;0;1019;0;0;
Rimini;31/1/2023;3;-1;8;2;84;15;5;9;0;1022;0;0;
Rimini;1/11/2023;15;9;19;9;72;20;7;21;0;1013;0;0;
Rimini;2/11/2023;19;13;23;11;64;20;18;37;0;1000;0;0;pioggia 
Rimini;3/11/2023;15;10;19;6;59;20;23;50;0;990;0;0;pioggia 
Rimini;4/11/2023;15;8;19;7;62;19;11;22;0;997;0;0;pioggia 
Rimini;5/11/2023;19;12;23;8;53;20;26;55;0;993;0;0;pioggia 
Rimini;6/11/2023;18;14;23;8;52;22;14;28;0;1011;0;0;
Rimini;7/11/2023;15;10;19;10;77;20;7;15;0;1016;0;0;pioggia 
Rimini;9/11/2023;13;5;19;6;69;20;8;21;0;1017;0;0;pioggia 
Rimini;10/11/2023;12;10;15;10;84;20;10;22;0;1006;0;0;pioggia 
Rimini;11/11/2023;10;5;15;6;81;20;6;11;0;1006;0;0;
Rimini;12/11/2023;9;5;15;6;83;17;6;11;0;1010;0;0;pioggia 
Rimini;13/11/2023;10;5;14;8;92;5;6;11;0;1016;0;0;nebbia 
Rimini;14/11/2023;11;8;15;9;93;3;5;11;0;1014;0;0;nebbia 
Rimini;15/11/2023;12;7;16;10;88;6;8;18;0;1014;0;0;
Rimini;16/11/2023;11;6;16;6;72;19;6;13;0;1016;0;0;
Rimini;17/11/2023;11;7;16;7;76;19;8;15;0;1012;0;0;
Rimini;18/11/2023;9;4;16;3;67;22;7;21;0;1022;0;0;
Rimini;19/11/2023;8;3;13;4;76;19;5;9;0;1019;0;0;
Rimini;20/11/2023;10;5;14;7;85;13;5;9;0;1014;0;0;
Rimini;21/11/2023;11;9;13;9;90;7;14;26;0;1008;0;0;pioggia 
Rimini;22/11/2023;13;12;14;7;66;19;28;37;0;1012;0;0;pioggia 
Rimini;23/11/2023;10;5;13;5;73;21;15;24;0;1020;0;0;
Rimini;24/11/2023;7;2;12;4;83;20;6;17;0;1004;0;0;
Rimini;25/11/2023;7;4;12;4;56;17;22;35;0;1003;0;0;pioggia 
Rimini;26/11/2023;8;1;14;0;39;20;15;28;0;1011;0;0;
Rimini;27/11/2023;8;0;14;4;68;21;11;26;0;1010;0;0;pioggia 
Rimini;28/11/2023;6;2;11;4;84;14;10;24;0;996;0;0;pioggia 
Rimini;29/11/2023;6;2;12;1;68;17;8;17;0;1006;0;0;
Rimini;30/11/2023;8;5;14;5;80;16;12;24;0;1005;0;0;pioggia 
Rimini;1/8/2024;28;22;32;20;62;20;0;0;0;1010;0;0;
Rimini;2/8/2024;28;24;30;20;65;19;0;0;0;1008;0;0;
Rimini;3/8/2024;25;20;29;20;74;19;0;17;0;1008;0;0;pioggia
Rimini;4/8/2024;26;21;30;19;71;20;0;0;0;1011;0;0;
Rimini;5/8/2024;26;21;30;19;66;19;0;0;0;1011;0;0;
Rimini;6/8/2024;27;22;30;19;65;19;0;0;0;1010;0;0;
Rimini;7/8/2024;27;22;31;20;67;21;1;48;0;1011;0;0;pioggia
Rimini;8/8/2024;26;21;29;19;66;21;0;0;0;1013;0;0;
Rimini;9/8/2024;26;20;30;20;69;20;0;0;0;1015;0;0;
Rimini;10/8/2024;27;21;31;20;68;19;0;0;0;1018;0;0;
Rimini;11/8/2024;27;22;32;21;70;20;0;0;0;1017;0;0;
Rimini;12/8/2024;28;22;32;21;68;19;0;0;0;1013;0;0;
Rimini;13/8/2024;28;22;32;21;64;20;0;0;0;1010;0;0;
Rimini;14/8/2024;28;23;32;20;60;20;0;0;0;1010;0;0;
Rimini;15/8/2024;28;24;31;20;64;18;0;0;0;1015;0;0;
Rimini;16/8/2024;27;23;31;20;65;20;0;0;0;1015;0;0;
Rimini;17/8/2024;28;24;31;19;61;19;0;0;0;1012;0;0;pioggia
Rimini;18/8/2024;25;22;32;18;66;21;0;0;0;1007;0;0;pioggia
Rimini;19/8/2024;22;20;25;18;80;19;0;0;0;1007;0;0;pioggia
Rimini;20/8/2024;24;21;27;20;83;17;0;0;0;1010;0;0;pioggia 
Rimini;21/8/2024;26;21;30;20;71;20;0;0;0;1011;0;0;
Rimini;22/8/2024;26;21;30;20;71;19;0;0;0;1012;0;0;
Rimini;23/8/2024;26;21;30;20;70;21;0;0;0;1014;0;0;
Rimini;24/8/2024;27;22;30;22;74;20;0;0;0;1015;0;0;
Rimini;25/8/2024;27;22;30;19;64;20;0;0;0;1014;0;0;
Rimini;26/8/2024;26;21;30;19;65;20;0;0;0;1013;0;0;
Rimini;27/8/2024;26;23;29;20;67;21;0;0;0;1015;0;0;
Rimini;28/8/2024;26;22;30;19;66;19;0;0;0;1016;0;0;
Rimini;29/8/2024;27;22;31;20;66;21;0;0;0;1016;0;0;
Rimini;30/8/2024;27;22;31;19;62;21;0;0;0;1016;0;0;
Rimini;31/8/2024;26;21;30;19;66;18;0;0;0;1016;0;0;
Rimini;1/4/2024;16;13;20;10;69;12;13;35;0;1005;0;0;pioggia 
Rimini;2/4/2024;16;11;21;3;44;20;18;31;0;1013;0;0;
Rimini;3/4/2024;15;12;19;4;47;20;12;21;0;1016;0;0;
Rimini;4/4/2024;13;7;19;9;75;20;9;21;0;1019;0;0;
Rimini;5/4/2024;14;7;19;8;72;21;7;15;0;1022;0;0;
Rimini;6/4/2024;14;9;19;10;75;20;7;13;0;1023;0;0;
Rimini;7/4/2024;15;9;20;9;70;20;6;11;0;1021;0;0;
Rimini;8/4/2024;15;10;19;12;84;19;8;17;0;1017;0;0;
Rimini;9/4/2024;17;10;25;11;73;18;8;21;0;1014;0;0;
Rimini;10/4/2024;16;14;19;11;71;20;12;24;0;1016;0;0;
Rimini;11/4/2024;16;12;20;10;69;21;12;18;0;1026;0;0;
Rimini;12/4/2024;18;13;21;10;64;20;10;21;0;1028;0;0;
Rimini;13/4/2024;18;12;23;12;72;20;8;18;0;1026;0;0;
Rimini;14/4/2024;17;11;23;12;71;20;7;15;0;1022;0;0;
Rimini;15/4/2024;20;11;27;8;48;21;12;28;0;1013;0;0;
Rimini;16/4/2024;19;12;25;7;48;19;18;35;0;1001;0;0;pioggia 
Rimini;17/4/2024;12;8;15;6;68;20;12;24;0;1005;0;0;pioggia
Rimini;18/4/2024;11;6;14;5;69;21;13;31;0;1008;0;0;pioggia
Rimini;19/4/2024;13;9;15;4;49;20;15;28;0;1014;0;0;
Rimini;20/4/2024;12;8;15;5;60;20;10;21;0;1009;0;0;pioggia
Rimini;21/4/2024;11;6;14;4;63;21;11;18;0;1013;0;0;
Rimini;22/4/2024;12;9;15;6;68;19;12;22;0;1010;0;0;pioggia 
Rimini;23/4/2024;8;6;11;6;86;19;12;18;0;1008;0;0;pioggia 
Rimini;24/4/2024;9;6;12;6;85;17;9;18;0;1006;0;0;pioggia 
Rimini;25/4/2024;10;4;13;5;76;18;12;22;0;1008;0;0;
Rimini;26/4/2024;11;7;16;8;83;19;8;18;0;1011;0;0;pioggia 
Rimini;27/4/2024;13;10;16;11;84;20;9;15;0;1016;0;0;pioggia 
Rimini;28/4/2024;14;8;18;12;89;19;9;22;0;1019;0;0;
Rimini;29/4/2024;15;9;19;11;79;16;8;17;0;1021;0;0;nebbia 
Rimini;30/4/2024;16;9;21;10;72;20;7;15;0;1017;0;0;
Rimini;1/2/2024;4;-2;11;1;73;19;6;11;0;1028;0;0;
Rimini;2/2/2024;4;-1;12;3;84;14;6;11;0;1029;0;0;
Rimini;3/2/2024;5;-1;13;3;82;19;5;11;0;1026;0;0;
Rimini;4/2/2024;6;1;13;4;84;16;5;13;0;1024;0;0;
Rimini;5/2/2024;6;1;12;5;91;8;5;9;0;1023;0;0;
Rimini;6/2/2024;5;0;10;5;95;10;5;8;0;1022;0;0;nebbia 
Rimini;7/2/2024;10;2;17;6;79;19;8;18;0;1014;0;0;
Rimini;8/2/2024;10;3;17;6;79;20;7;18;0;1010;0;0;
Rimini;9/2/2024;15;13;17;8;61;21;16;28;0;1004;0;0;
Rimini;10/2/2024;12;10;14;9;83;14;8;17;0;995;0;0;pioggia 
Rimini;11/2/2024;12;7;17;8;79;20;11;26;0;993;0;0;pioggia 
Rimini;12/2/2024;9;6;13;8;89;19;8;18;0;1004;0;0;
Rimini;13/2/2024;10;4;14;7;85;18;10;24;0;1017;0;0;
Rimini;14/2/2024;6;1;11;4;87;16;5;11;0;1024;0;0;
Rimini;15/2/2024;6;1;11;5;94;12;5;13;0;1024;0;0;nebbia 
Rimini;16/2/2024;7;5;10;6;94;1;4;9;0;1022;0;0;nebbia 
Rimini;17/2/2024;6;1;10;5;88;2;4;11;0;1027;0;0;nebbia 
Rimini;18/2/2024;8;3;15;5;85;2;5;11;0;1030;0;0;nebbia 
Rimini;19/2/2024;9;4;14;6;85;2;7;22;0;1024;0;0;nebbia 
Rimini;20/2/2024;9;4;15;5;79;15;6;15;0;1024;0;0;
Rimini;21/2/2024;8;2;15;4;73;20;6;13;0;1024;0;0;
Rimini;22/2/2024;13;4;17;3;55;21;14;24;0;1013;0;0;pioggia 
Rimini;23/2/2024;15;9;20;7;62;18;18;33;0;1000;0;0;pioggia 
Rimini;24/2/2024;10;5;16;4;68;20;10;26;0;1008;0;0;pioggia 
Rimini;25/2/2024;10;5;14;5;74;18;7;13;0;1010;0;0;
Rimini;26/2/2024;9;1;14;6;79;20;9;17;0;1006;0;0;pioggia 
Rimini;27/2/2024;14;12;15;10;81;22;11;18;0;1006;0;0;pioggia 
Rimini;28/2/2024;12;9;14;11;94;5;9;17;0;1014;0;0;pioggia 
Rimini;29/2/2024;13;12;15;11;90;14;9;15;0;1012;0;0;pioggia 
Rimini;1/11/2022;15;9;20;11;78;19;6;9;0;1022;0;0;sole
Rimini;2/11/2022;15;10;19;12;84;15;5;9;0;1023;0;0;sole
Rimini;3/11/2022;15;12;18;13;89;5;6;11;0;1019;0;0;sole
Rimini;4/11/2022;16;11;21;12;73;19;10;30;0;1004;0;0;pioggia
Rimini;5/11/2022;14;10;17;8;68;20;14;24;0;1009;0;0;pioggia
Rimini;6/11/2022;13;8;17;6;64;20;13;26;0;1017;0;0;sole
Rimini;7/11/2022;10;4;16;6;77;20;6;13;0;1020;0;0;sole
Rimini;8/11/2022;12;5;18;8;82;21;6;15;0;1021;0;0;sole
Rimini;9/11/2022;12;7;18;10;87;14;6;13;0;1019;0;0;sole
Rimini;10/11/2022;13;8;15;11;89;6;13;22;0;1024;0;0;sole
Rimini;11/11/2022;15;12;18;11;81;12;15;21;0;1032;0;0;pioggia
Rimini;12/11/2022;13;11;16;10;82;10;15;24;0;1029;0;0;sole
Rimini;13/11/2022;12;8;16;9;85;12;8;17;0;1024;0;0;pioggia
Rimini;14/11/2022;11;9;12;10;94;12;11;18;0;1022;0;0;pioggia
Rimini;15/11/2022;10;4;14;8;91;15;8;18;0;1017;0;0;pioggia
Rimini;16/11/2022;11;10;12;10;94;8;11;21;0;1004;0;0;pioggia
Rimini;17/11/2022;12;6;18;10;88;8;8;22;0;1002;0;0;nebbia
Rimini;18/11/2022;13;9;18;11;87;13;11;28;0;1000;0;0;nebbia
Rimini;19/11/2022;10;8;14;9;92;13;9;28;0;1005;0;0;pioggia
Rimini;20/11/2022;11;7;14;7;80;18;20;30;0;1009;0;0;pioggia
Rimini;21/11/2022;11;3;16;6;73;20;8;21;0;1008;0;0;sole
Rimini;22/11/2022;10;8;13;8;89;13;25;59;0;990;0;0;pioggia
Rimini;23/11/2022;10;5;15;5;77;20;15;44;0;1003;0;0;pioggia
Rimini;24/11/2022;8;4;14;4;80;20;6;13;0;1013;0;0;sole
Rimini;25/11/2022;8;3;13;6;88;16;6;15;0;1018;0;0;sole
Rimini;26/11/2022;12;9;15;8;78;12;18;26;0;1023;0;0;pioggia
Rimini;27/11/2022;9;6;12;5;81;18;17;26;0;1026;0;0;sole
Rimini;28/11/2022;7;4;10;4;83;20;7;13;0;1019;0;0;pioggia
Rimini;29/11/2022;7;6;8;6;94;6;15;21;0;1015;0;0;pioggia
Rimini;30/11/2022;6;6;7;3;82;12;20;24;0;1016;0;0;pioggia
Rimini;1/6/2024;22;14;27;10;49;20;0;0;0;1011;0;0;
Rimini;2/6/2024;19;12;22;11;61;20;0;0;0;1014;0;0;pioggia 
Rimini;3/6/2024;19;16;23;13;73;20;0;0;0;1013;0;0;pioggia
Rimini;4/6/2024;20;12;24;14;70;21;0;0;0;1013;0;0;
Rimini;5/6/2024;21;15;24;15;71;21;0;0;0;1015;0;0;
Rimini;6/6/2024;22;15;26;15;65;21;0;0;0;1017;0;0;
Rimini;7/6/2024;23;17;26;17;68;21;0;0;0;1016;0;0;
Rimini;8/6/2024;24;18;28;15;59;20;0;0;0;1013;0;0;
Rimini;9/6/2024;26;21;31;16;57;19;0;0;0;1007;0;0;pioggia 
Rimini;10/6/2024;25;22;29;17;61;20;0;0;0;1004;0;0;
Rimini;11/6/2024;24;17;28;13;52;21;0;0;0;1008;0;0;
Rimini;12/6/2024;22;18;25;15;63;19;0;0;0;1011;0;0;pioggia 
Rimini;13/6/2024;20;16;22;14;70;20;0;0;0;1014;0;0;pioggia
Rimini;14/6/2024;20;14;24;12;64;18;0;0;0;1016;0;0;
Rimini;15/6/2024;23;14;29;13;55;20;0;0;0;1012;0;0;
Rimini;16/6/2024;24;20;26;11;46;20;0;0;0;1011;0;0;
Rimini;17/6/2024;22;14;26;12;53;20;0;0;0;1015;0;0;
Rimini;18/6/2024;23;17;27;16;67;20;0;0;0;1017;0;0;
Rimini;19/6/2024;27;21;34;17;58;21;0;0;0;1016;0;0;
Rimini;20/6/2024;26;21;30;17;57;20;0;0;0;1018;0;0;
Rimini;21/6/2024;25;22;28;20;73;19;0;0;0;1014;0;0;pioggia
Rimini;22/6/2024;25;17;30;13;50;21;0;0;0;1010;0;0;
Rimini;23/6/2024;21;17;24;14;66;21;0;0;0;1010;0;0;pioggia 
Rimini;24/6/2024;23;19;25;18;74;20;0;0;0;1011;0;0;
Rimini;25/6/2024;23;20;25;18;75;20;0;0;0;1011;0;0;pioggia
Rimini;26/6/2024;21;19;24;17;76;19;0;0;0;1011;0;0;pioggia
Rimini;27/6/2024;24;17;28;17;65;19;0;0;0;1011;0;0;
Rimini;28/6/2024;26;19;29;18;62;19;0;0;0;1015;0;0;
Rimini;29/6/2024;26;21;29;20;71;21;0;0;0;1016;0;0;
Rimini;30/6/2024;30;26;33;16;45;21;0;0;0;1010;0;0;
Rimini;1/7/2024;26;20;32;17;57;20;0;0;0;1010;0;0;pioggia 
Rimini;2/7/2024;23;19;27;16;66;20;0;0;0;1008;0;0;
Rimini;3/7/2024;22;18;26;15;64;19;0;0;0;1007;0;0;pioggia
Rimini;4/7/2024;21;17;24;16;75;19;0;0;0;1010;0;0;pioggia 
Rimini;5/7/2024;23;17;27;17;71;20;0;0;0;1014;0;0;
Rimini;6/7/2024;26;19;33;16;56;21;0;15;0;1011;0;0;
Rimini;7/7/2024;27;24;31;17;57;21;0;0;0;1011;0;0;pioggia 
Rimini;8/7/2024;25;20;29;19;70;18;0;0;0;1014;0;0;
Rimini;9/7/2024;27;21;31;19;62;18;0;0;0;1015;0;0;
Rimini;10/7/2024;29;23;33;20;60;21;0;0;0;1014;0;0;
Rimini;11/7/2024;29;23;32;20;60;22;0;15;0;1013;0;0;
Rimini;12/7/2024;29;22;33;20;59;22;0;0;0;1010;0;0;
Rimini;13/7/2024;29;25;31;18;54;19;0;0;0;1009;0;0;
Rimini;14/7/2024;28;22;31;17;53;20;0;0;0;1011;0;0;
Rimini;15/7/2024;27;21;31;18;58;22;0;0;0;1012;0;0;
Rimini;16/7/2024;28;22;32;18;57;19;0;0;0;1011;0;0;
Rimini;17/7/2024;28;21;32;19;59;20;0;0;0;1013;0;0;
Rimini;18/7/2024;28;23;31;19;58;19;0;0;0;1016;0;0;
Rimini;19/7/2024;28;22;32;20;60;21;0;0;0;1014;0;0;
Rimini;20/7/2024;27;21;29;19;65;20;0;0;0;1010;0;0;
Rimini;21/7/2024;27;21;32;20;66;20;0;0;0;1009;0;0;
Rimini;22/7/2024;27;23;30;18;59;20;0;0;0;1011;0;0;pioggia 
Rimini;23/7/2024;27;22;31;19;64;19;0;0;0;1014;0;0;
Rimini;24/7/2024;27;22;31;18;60;20;0;0;0;1012;0;0;
Rimini;25/7/2024;27;22;31;18;61;20;0;0;0;1011;0;0;
Rimini;26/7/2024;26;19;31;16;56;19;0;0;0;1012;0;0;
Rimini;27/7/2024;27;21;30;19;62;22;0;0;0;1014;0;0;
Rimini;28/7/2024;28;22;31;19;60;19;0;0;0;1016;0;0;
Rimini;29/7/2024;28;24;30;21;67;21;0;0;0;1017;0;0;
Rimini;30/7/2024;26;21;30;17;58;20;0;0;0;1017;0;0;
Rimini;31/7/2024;26;20;30;17;59;20;0;0;0;1014;0;0;
Rimini;1/5/2024;16;11;19;13;85;19;11;24;0;1008;0;0;pioggia
Rimini;2/5/2024;15;12;20;10;72;20;11;33;0;1008;0;0;pioggia 
Rimini;3/5/2024;13;7;17;8;70;20;9;15;0;1011;0;0;pioggia 
Rimini;4/5/2024;15;12;19;11;75;19;8;17;0;1015;0;0;
Rimini;5/5/2024;16;10;20;11;75;20;10;22;0;1015;0;0;
Rimini;6/5/2024;17;11;22;10;66;19;9;18;0;1013;0;0;
Rimini;7/5/2024;16;14;17;11;74;19;9;17;0;1013;0;0;pioggia 
Rimini;8/5/2024;15;10;19;13;86;19;9;18;0;1016;0;0;
Rimini;9/5/2024;17;14;21;11;68;22;8;15;0;1018;0;0;
Rimini;10/5/2024;17;11;21;10;65;18;9;17;0;1018;0;0;
Rimini;11/5/2024;17;11;21;9;60;21;8;17;0;1018;0;0;
Rimini;12/5/2024;18;10;23;10;62;19;9;18;0;1017;0;0;
Rimini;13/5/2024;19;14;23;12;68;20;9;18;0;1014;0;0;pioggia
Rimini;14/5/2024;19;16;22;15;76;22;10;18;0;1011;0;0;
